Date,Open,High,Low,Close,,
28-Feb-23,"3,977.19","3,997.50","3,968.98","3,970.15",,
27-Feb-23,"3,992.36","4,018.05","3,973.55","3,982.24",,
24-Feb-23,"3,973.24","3,978.25","3,943.08","3,970.04",,
23-Feb-23,"4,018.60","4,028.30","3,969.19","4,012.32",,
22-Feb-23,"4,001.83","4,017.37","3,976.90","3,991.05",,
21-Feb-23,"4,052.35","4,052.35","3,995.19","3,997.34",,
17-Feb-23,"4,077.39","4,081.51","4,047.95","4,079.09",,
16-Feb-23,"4,114.75","4,136.54","4,089.49","4,090.41",,
15-Feb-23,"4,119.50","4,148.11","4,103.98","4,147.60",,
14-Feb-23,"4,126.70","4,159.77","4,095.01","4,136.13",,
13-Feb-23,"4,096.62","4,138.90","4,092.67","4,137.29",,
10-Feb-23,"4,068.92","4,094.36","4,060.79","4,090.46",,
9-Feb-23,"4,144.25","4,156.23","4,069.67","4,081.50",,
8-Feb-23,"4,153.47","4,156.85","4,111.67","4,117.86",,
7-Feb-23,"4,105.35","4,176.54","4,088.39","4,164.00",,
6-Feb-23,"4,119.57","4,124.63","4,093.38","4,111.08",,
3-Feb-23,"4,136.69","4,182.36","4,123.36","4,136.48",,
2-Feb-23,"4,158.68","4,195.44","4,141.88","4,179.76",,
1-Feb-23,"4,070.07","4,148.95","4,037.20","4,119.21",,
31-Jan-23,"4,020.85","4,077.16","4,020.44","4,076.60",,
30-Jan-23,"4,049.27","4,063.85","4,015.55","4,017.77",,
27-Jan-23,"4,053.72","4,094.21","4,048.70","4,070.56",,
26-Jan-23,"4,036.08","4,061.57","4,013.29","4,060.43",,
25-Jan-23,"3,982.71","4,019.55","3,949.06","4,016.22",,
24-Jan-23,"4,001.74","4,023.92","3,989.79","4,016.95",,
23-Jan-23,"3,978.14","4,039.31","3,971.64","4,019.81",,
20-Jan-23,"3,909.04","3,972.96","3,897.86","3,972.61",,
19-Jan-23,"3,911.84","3,922.94","3,885.54","3,898.85",,
18-Jan-23,"4,002.25","4,014.16","3,926.59","3,928.86",,
17-Jan-23,"3,999.28","4,015.39","3,984.57","3,990.97",,
13-Jan-23,"3,960.60","4,003.95","3,947.67","3,999.09",,
12-Jan-23,"3,977.57","3,997.76","3,937.56","3,983.17",,
11-Jan-23,"3,932.35","3,970.07","3,928.54","3,969.61",,
10-Jan-23,"3,888.57","3,919.83","3,877.29","3,919.25",,
9-Jan-23,"3,910.82","3,950.57","3,890.42","3,892.09",,
6-Jan-23,"3,823.37","3,906.19","3,809.56","3,895.08",,
5-Jan-23,"3,839.74","3,839.74","3,802.42","3,808.10",,
4-Jan-23,"3,840.36","3,873.16","3,815.77","3,852.97",,
3-Jan-23,"3,853.29","3,878.46","3,794.33","3,824.14",,
30-Dec-22,"3,829.06","3,839.85","3,800.34","3,839.50",,
29-Dec-22,"3,805.45","3,858.19","3,805.45","3,849.28",,
28-Dec-22,"3,829.56","3,848.32","3,780.78","3,783.22",,
27-Dec-22,"3,843.34","3,846.65","3,813.22","3,829.25",,
23-Dec-22,"3,815.11","3,845.80","3,797.01","3,844.82",,
22-Dec-22,"3,853.26","3,853.26","3,764.49","3,822.39",,
21-Dec-22,"3,839.49","3,889.82","3,839.49","3,878.44",,
20-Dec-22,"3,810.47","3,838.24","3,795.62","3,821.62",,
19-Dec-22,"3,853.79","3,854.86","3,800.04","3,817.66",,
16-Dec-22,"3,890.91","3,890.91","3,827.91","3,852.36",,
15-Dec-22,"3,958.37","3,958.37","3,879.45","3,895.75",,
14-Dec-22,"4,015.54","4,053.76","3,965.65","3,995.32",,
13-Dec-22,"4,069.38","4,100.96","3,993.03","4,019.65",,
12-Dec-22,"3,939.29","3,990.71","3,935.30","3,990.56",,
9-Dec-22,"3,954.17","3,977.02","3,933.04","3,934.38",,
8-Dec-22,"3,947.79","3,974.19","3,935.83","3,963.51",,
7-Dec-22,"3,933.28","3,957.57","3,922.68","3,933.92",,
6-Dec-22,"3,996.63","4,001.51","3,918.39","3,941.26",,
5-Dec-22,"4,052.02","4,052.45","3,984.49","3,998.84",,
2-Dec-22,"4,040.17","4,080.48","4,026.63","4,071.70",,
1-Dec-22,"4,087.14","4,100.51","4,050.87","4,076.57",,
30-Nov-22,"3,957.18","4,080.11","3,938.58","4,080.11",,
29-Nov-22,"3,964.19","3,976.77","3,937.65","3,957.63",,
28-Nov-22,"4,005.36","4,012.27","3,955.77","3,963.94",,
25-Nov-22,"4,023.34","4,034.02","4,020.76","4,026.12",,
23-Nov-22,"4,000.30","4,033.78","3,998.66","4,027.26",,
22-Nov-22,"3,965.51","4,005.88","3,956.88","4,003.58",,
21-Nov-22,"3,956.23","3,962.00","3,933.34","3,949.94",,
18-Nov-22,"3,966.39","3,979.89","3,935.98","3,965.34",,
17-Nov-22,"3,919.26","3,954.33","3,906.54","3,946.56",,
16-Nov-22,"3,976.82","3,983.09","3,954.34","3,958.79",,
15-Nov-22,"4,006.41","4,028.84","3,953.17","3,991.73",,
14-Nov-22,"3,977.97","4,008.97","3,956.40","3,957.25",,
11-Nov-22,"3,963.72","4,001.48","3,944.82","3,992.93",,
10-Nov-22,"3,859.89","3,958.33","3,859.89","3,956.37",,
9-Nov-22,"3,810.94","3,818.20","3,744.22","3,748.57",,
8-Nov-22,"3,817.02","3,859.40","3,786.28","3,828.11",,
7-Nov-22,"3,780.71","3,813.95","3,764.70","3,806.80",,
4-Nov-22,"3,766.98","3,796.34","3,708.84","3,770.55",,
3-Nov-22,"3,733.25","3,750.59","3,698.15","3,719.89",,
2-Nov-22,"3,852.90","3,894.44","3,758.68","3,759.69",,
1-Nov-22,"3,901.79","3,911.79","3,843.80","3,856.10",,
31-Oct-22,"3,881.85","3,893.73","3,863.18","3,871.98",,
28-Oct-22,"3,808.26","3,905.42","3,808.26","3,901.06",,
27-Oct-22,"3,834.69","3,859.95","3,803.79","3,807.30",,
26-Oct-22,"3,825.97","3,886.15","3,824.07","3,830.60",,
25-Oct-22,"3,799.44","3,862.85","3,799.44","3,859.11",,
24-Oct-22,"3,762.01","3,810.74","3,741.65","3,797.34",,
21-Oct-22,"3,657.10","3,757.89","3,647.42","3,752.75",,
20-Oct-22,"3,689.05","3,736.00","3,656.44","3,665.78",,
19-Oct-22,"3,703.11","3,728.58","3,666.51","3,695.16",,
18-Oct-22,"3,746.26","3,762.79","3,686.53","3,719.98",,
17-Oct-22,"3,638.65","3,689.73","3,638.65","3,677.95",,
14-Oct-22,"3,690.41","3,712.00","3,579.68","3,583.07",,
13-Oct-22,"3,520.37","3,685.41","3,491.58","3,669.91",,
12-Oct-22,"3,590.83","3,608.34","3,573.86","3,577.03",,
11-Oct-22,"3,595.86","3,640.66","3,568.45","3,588.84",,
10-Oct-22,"3,647.51","3,652.17","3,588.10","3,612.39",,
