Date,Open,High,Low,Close,50 Days Avg,200 Days Avg
15-Dec-20,3666.41,3695.29,3659.62,3694.62,3520.66,3176.38
16-Dec-20,3696.25,3711.27,3688.57,3701.17,3527.45,3179.39
17-Dec-20,3713.65,3725.12,3710.87,3722.48,3533.19,3182.86
18-Dec-20,3722.39,3726.7,3685.84,3709.41,3540.28,3185.81
21-Dec-20,3684.28,3702.9,3636.48,3694.92,3545.96,3189.22
22-Dec-20,3698.08,3698.26,3676.16,3687.26,3550.83,3192.81
23-Dec-20,3693.42,3711.24,3689.28,3690.01,3554.95,3197.49
24-Dec-20,3694.03,3703.82,3689.32,3703.06,3558.0,3201.51
28-Dec-20,3723.03,3740.51,3723.03,3735.36,3561.75,3206.3
29-Dec-20,3750.01,3756.12,3723.31,3727.04,3566.59,3212.54
30-Dec-20,3736.19,3744.63,3730.21,3732.04,3571.36,3217.59
31-Dec-20,3733.27,3760.2,3726.88,3756.07,3576.23,3224.29
4-Jan-21,3764.61,3769.99,3662.71,3700.65,3582.69,3230.39
5-Jan-21,3698.02,3737.83,3695.07,3726.86,3587.74,3236.87
6-Jan-21,3712.2,3783.04,3705.34,3748.14,3593.45,3243.43
7-Jan-21,3764.71,3811.55,3764.71,3803.79,3599.22,3250.61
8-Jan-21,3815.05,3826.69,3783.6,3824.68,3605.86,3258.4
11-Jan-21,3803.14,3817.86,3789.02,3799.61,3614.17,3265.25
12-Jan-21,3801.62,3810.78,3776.51,3801.19,3622.19,3271.84
13-Jan-21,3802.23,3820.96,3791.5,3809.84,3632.58,3277.67
14-Jan-21,3814.98,3823.6,3792.86,3795.54,3642.38,3283.98
15-Jan-21,3788.73,3788.73,3749.62,3768.25,3652.69,3289.79
19-Jan-21,3781.88,3804.53,3780.37,3798.91,3661.67,3295.68
20-Jan-21,3816.22,3859.75,3816.22,3851.85,3670.09,3302.29
21-Jan-21,3857.46,3861.45,3845.05,3853.07,3678.1,3308.88
22-Jan-21,3844.24,3852.31,3830.41,3841.47,3684.82,3315.67
25-Jan-21,3851.68,3859.23,3797.16,3855.36,3691.33,3321.53
26-Jan-21,3862.96,3870.9,3847.78,3849.62,3697.31,3327.48
